,source_spreadsheet,key,annotator,date_annotated,double_checked_by,date_double_checked,annotation_comments,exclude,time_taken,pub_venue,pub_authors,pub_year,pub_url,system_language,system_input,system_output,system_task,system_application_domain,criterion_verbatim,criterion_definition_verbatim,criterion_paraphrase,criterion_definition_paraphrase,op_form,op_question_prompt_verbatim,op_question_prompt_paraphrase,op_data_type,op_instrument_type,op_instrument_size,op_response_values,op_statistics
10,1,LLJKH2020,SH,08/01/20,N/A,N/A,N/A,N/A,5min,ACL,"Lee, Lee, Jeong, Kim, & Hwang",2020,https://www.aclweb.org/anthology/2020.acl-main.20.pdf,English,text: paragraph,other (QA pair generation),other (QA pair generation),QA pair generation,consistency,the consistency between a question and its corresponding answer means they should be semantically dependent on each other such that the question is answerable from the given answer and the context.,Correctness of Content,semantically correct and answerable from input,Relative quality estimation,not given,not clear,Categorical,Unclear,N/A,N/A,none given
11,1,SWSZXGY2020,SH,08/01/20,N/A,N/A,N/A,N/A,20min,ACL,"Song, Wang, Su, Zhang, Xu, Ge, & Yu",2020,https://www.aclweb.org/anthology/2020.acl-main.712.pdf,English,"multiple (AMR, Knowledge graph)",text: sentence,data-to-text generation (no summarisation),graph to text generation,Preserving Input Relation,how many interactions are preserved by the output of a model,Adequacy,the output should represent the input relations adequately,Qualitative feedback,"""To determine if a sentence preserves an
interaction, we ask 3 people with NLP background
to make their decisions""",,Not given,Unclear,2,Yes/No,none given
12,1,MANSLFR2020,SH,08/01/20,N/A,N/A,N/A,N/A,20min,ACL,"Mager, Astudillo, Naseem, Sultan, Lee, Florian, & Roukos",2020,https://www.aclweb.org/anthology/2020.acl-main.167.pdf,English,deep linguistic representation,text: sentence,data-to-text generation (no summarisation),AMR to text generation,None given,"should be grammatically correct, meaningful, and fluent",Adequancy + grammaticality + fluency,"should be grammatically correct, meaningful, and fluent",Direct quality estimation,not given,not clear,Ordinal,Numerical Rating Scale,6,"0=Exceptionally poor (No useful information is conveyed at all.)
• 1=Poor (Fundamental errors in grammar and vocabulary make it difficult to understand the meaning.)
• 2=Not good enough (Errors in grammar, vocabulary
and style make it difficult to understand the meaning.)
• 3=Good enough (There are errors in the text, but I am
reasonably confident that I understand the meaning.) 4=Very good (There may be minor errors in the text,
but I am very confident that I understand the meaning.)
• 5=Excellent (The information is presented clearly and
with appropriate grammar, vocabulary and style.)","statistical significance, ratio of sentences evaluated between 4 and 5 rated scores "
13,1,IDCBE2020,SH,08/01/20,N/A,N/A,N/A,N/A,20min,ACL,"Ippolito, Duckworth, Callison-Burch, & Eck",2020,https://www.aclweb.org/anthology/2020.acl-main.164.pdf,English,no input,text: paragraph,end-to-end text generation,language understanding,None given,decide whether a passage of text was written by a human or by a computer algorithm,Humanlikeness,whether a passage of text was written by a human or by a computer algorithm,Direct quality estimation,decide whether a passage of text was written by a human or by a computer algorithm,"
decide whether a passage of text was written by a human or by a computer algorithm",Categorical,Unclear,4,“definitely” or “possibly” machine-generated and “definitely” or “possibly” human-written.,rater accuracy
14,1,DLL2020,SH,08/01/20,N/A,N/A,N/A,N/A,10min,ACL,"Donahue, Lee, & Liang",2020,https://www.aclweb.org/anthology/2020.acl-main.225.pdf,English,text: paragraph,text: paragraph,end-to-end text generation,text infilling,None given,identifying which of the sentences in a story was machine-generated,Humanlikeness,determine which of the sentences in a story was machine-generated,Unclear,identify which of the sentences in a story was machine-generated,identify which of the sentences in a story was machine-generated,Count,Counting,N/A,N/A,percentage of examples where the annotator did not correctly identify the machinegenerated sentence
15,1,ZCLXSGW2020,SH,08/01/20,N/A,N/A,N/A,N/A,10min,ACL,"Zhou, Chen, Liu, Xiao, Su, Guo, & Wu",2020,https://www.aclweb.org/anthology/2020.acl-main.639.pdf,English,text: sentence,text: sentence,feature-controlled generation,style transfer,accuracy of style transfer,None given,Correctness of Content,correctness of output,Direct quality estimation,evaluate the output sentences,evaluate the output sentences,Ordinal,Numerical Rating Scale,5,1 to 5,"average, t-test"
16,1,ZCLXSGW2020,SH,08/01/20,N/A,N/A,N/A,N/A,5min,ACL,"Zhou, Chen, Liu, Xiao, Su, Guo, & Wu",2020,https://www.aclweb.org/anthology/2020.acl-main.639.pdf,English,text: sentence,text: sentence,feature-controlled generation,style transfer,preservation of original content,None given,Adequacy,if the content of output is aligned with input,Direct quality estimation,evaluate the output sentences,evaluate the output sentences,Ordinal,Numerical Rating Scale,5,1 to 5,"average, t-test"
17,1,ZCLXSGW2020,SH,08/01/20,N/A,N/A,N/A,N/A,3min,ACL,"Zhou, Chen, Liu, Xiao, Su, Guo, & Wu",2020,https://www.aclweb.org/anthology/2020.acl-main.639.pdf,English,text: sentence,text: sentence,feature-controlled generation,style transfer,fluency,None given,Fluency,if output flows well,Direct quality estimation,evaluate the output sentences,evaluate the output sentences,Ordinal,Numerical Rating Scale,5,1 to 5,"average, t-test"
18,2,WWAYC2020,,,,,,,0:30,ACL,"Wang, Wang, An, Yu, & Chen",2020,https://www.aclweb.org/anthology/2020.acl-main.101.pdf,English,structured data,text: paragraph,end-to-end text generation,Text generation from a knowledge base,Grammar,None given,Grammaticality,Degree to which there are no grammatical errors and meaning can be understood (from verbal descriptors),Direct quality estimation,Not given,Select from one of the following options,Ordinal,Verbal Descriptor Scale,4,"4 : There are no grammar errors.
3: There are a few grammar errors, but sentence meaning is clear.
2:  There are some grammar errors, but not influencing its meaning.
1: There are many grammar errors. People cannot understand the sentence meaning.",Average of scores
19,2,WWAYC2020,,,,,,,,ACL,"Wang, Wang, An, Yu, & Chen",2020,https://www.aclweb.org/anthology/2020.acl-main.101.pdf,English,structured data,text: paragraph,end-to-end text generation,text generation from a knowledge base,Fluency,None given,Fluency,Degree to which the text flows naturally and smoothly and meaning is clear (from verbal descriptors),Direct quality estimation,Not given,Select from one of the following options,Ordinal,Verbal Descriptor Scale,4,"4:  The sentence meaning is clear and flow naturally and smoothly.
3:  The sentence meaning is clear, but there are a few interruptions.
2: The sentence does not flow smoothly but people can understand its meaning.
1:  The sentence is not fluent at all and people cannot understand its meaning.",Average of scores
20,2,WWAYC2020,,,,,,,,ACL,"Wang, Wang, An, Yu, & Chen",2020,https://www.aclweb.org/anthology/2020.acl-main.101.pdf,English,structured data,text: paragraph,end-to-end text generation,text generation from a knowledge base,Faithfulness Recall/Precision/F-score,"""A sentence is faithful if it contains only information supported by the table. [...] precision as the percentage of entities in the generated text also appear in the table [...] recall as the percentage of entities in the table also appear in the generated text""","Multiple (please specify): Adequacy Precision, Adequacy Recall",Degree to which text contains information supported by the input; P/R/F scores computed,Evaluation through post-editing/annotation,Not given,Manually extract entities from the generated sentences,Text,Text Annotation,N/A,N/A,"Precision, Recall, F-score over extracted entities"
21,2,LBHDC2020,,,,,,,0:30,ACL,"Li, Bao, Huang, Dai, & Chen",2020,https://www.aclweb.org/anthology/2020.acl-main.65.pdf,English,"multiple (list all): text: subsentential units of text, semantic components, context representation",text: subsentential units of text,other (please specify): definition generation,dictionary definition generation,Fluency,None given,Fluency,Degree to which output is fluent (no usable detail given in paper),Direct quality estimation,Not given,Not clear,Ordinal,Numerical Rating Scale,5,"1, 2, 3, 4, 5",Average of scores
22,2,LBHDC2020,,,,,,,,ACL,"Li, Bao, Huang, Dai, & Chen",2020,https://www.aclweb.org/anthology/2020.acl-main.65.pdf,English,"multiple (list all): text: subsentential units of text, semantic components, context representation",text: subsentential units of text,other (please specify): definition generation,dictionary definition generation,Semantic Completeness,None given,Information - too much/not enough,Degree to which output has all the information needed for a definition,Direct quality estimation,Not given,Not clear,Ordinal,Numerical Rating Scale,5,"1, 2, 3, 4, 5",Average of scores
23,2,CCSCW2020,,,,,,,0:30,ACL,"Chen, Chen, Su, Chen, & Wang",2020,https://www.aclweb.org/anthology/2020.acl-main.708.pdf,English,raw data,text: sentence,data-to-text generation (no summarisation),generation of statements logically entailed by input data,Fluency and Logic Correctness,None given,"Multiple (please specify): 
Correctness relative to input, Fluency","Whether text is logically correct and/or is fluent, i.e. four possible outcomes",Direct quality estimation,Not given,Not clear,Categorical,Verbal Descriptor Scale,4,"1) non-sense: the sentence does not make much sense, which is mainly due to disfluency or repetition problem.
2) wrong: a fluent sentence with wrong logic.  
3) partial-correct: the sentence contains more than one fact, at least one of them is correct 
4) correct: the high-quality in both fluency and logic correctness.",None given
24,2,LLJKH2020,,,,,,,0:30,ACL,"Lee, Lee, Jeong, Kim, & Hwang",2020,https://www.aclweb.org/anthology/2020.acl-main.20.pdf,English,text: document,text: paragraph,question generation,question-answer pair generation for training data augmentation in Question Answering,Overall Quality,Not given,Nonspecific Quality,Degree to which output is overall of good quality (no usable detail given in paper),Unclear,Not given,Not clear,Not given,Unclear,Unclear,Not given,Collected responses are converted to percentages but it's unclear how
25,2,LLJKH2020,,,,,,,,ACL,"Lee, Lee, Jeong, Kim, & Hwang",2020,https://www.aclweb.org/anthology/2020.acl-main.20.pdf,English,text: document,text: paragraph,question generation,question-answer pair generation for training data augmentation in Question Answering,Diversity,"""focusing on different parts of a context at each time""",Variedness,Degree to which outputs use a different part of the source text to formulate the question in one-to-many QG for the same answer,Unclear,Not given,Not clear,Not given,Unclear,Unclear,Not given,Collected responses are converted to percentages but it's unclear how
26,2,LLJKH2020,,,,,,,,ACL,"Lee, Lee, Jeong, Kim, & Hwang",2020,https://www.aclweb.org/anthology/2020.acl-main.20.pdf,English,text: document,text: paragraph,question generation,question-answer pair generation for training data augmentation in Question Answering,"
Consistency","
""Consistency between the generated QA pairs and the context"" (=input text)",Answerability from input,Degree to which the generated question is 'relevant' to the context,Unclear,Not given,Not clear,Not given,Unclear,Unclear,Not given,Collected responses are converted to percentages but it's unclear how
27,2,SWSZXGY2020,,,,,,,0:30,ACL,"Song, Wang, Su, Zhang, Xu, Ge, & Yu",2020,https://www.aclweb.org/anthology/2020.acl-main.712.pdf,English,deep linguistic representation,text: sentence,deep generation (DLR to text),multi-domain AMR-to-text generation,Recall of input relations,how many subject-predicate-object interactions are preserved by the output of a model,Adequacy Recall,Degree to which the output contains all subject/predicate/object interactions present in the input,Evaluation through post-editing/annotation,Not given,count the preserved interactions,Count,Counting,N/A,integers >= 0,percentages
28,2,MANSLFR2020,,,,,,,0:30,ACL,"Mager, Astudillo, Naseem, Sultan, Lee, Florian, & Roukos",2020,https://www.aclweb.org/anthology/2020.acl-main.167.pdf,English,deep linguistic representation,text: sentence,deep generation (DLR to text),multi-domain AMR-to-text generation,None given,None given,"Multiple (please specify): Understandability, Clarity, Grammaticality","Degree to which the output is free of grammatical, lexical and/or style errors, and/or has clear information presentation and/or meaning is understandable (from verbal descriptors)",Direct quality estimation,Not given,score on this scale,Ordinal,Verbal Descriptor Scale,6,"0=Exceptionally poor (No useful  information is conveyed at all.)
1=Poor (Fundamental errors in grammar and vocabulary make it difficult to understand the meaning.)
2=Not good enough (Errors in grammar, vocabulary and style make it difficult to understand the meaning.)
3=Good enough (There are errors in the text, but I am reasonably confident that I understand the meaning.)
4=Very good (There may be minor errors in the text, but I am very confident that I understand the meaning.)
5=Excellent (The information is presented clearly and with appropriate grammar, vocabulary and style.)",two-tailed student t-test
29,2,IDCBE2020,,,,,,,0:30,ACL,"Ippolito, Duckworth, Callison-Burch, & Eck",2020,https://www.aclweb.org/anthology/2020.acl-main.164.pdf,English,"multiple (list all): no input, text: subsentential units of text",text: paragraph,other (please specify): next-in-sequence prediction,Unprimed and minimally primed generic text generation with GPT-3,Human-like,"""whether a passage of text was written by a human or by a computer algorithm""",Humanlikeness,Degree to which text is human-like,Direct quality estimation,"""What do you think the source is?""",blank,Ordinal,Verbal Descriptor Scale,4,"Definitely human-written, possibly human-written, possibly machine-written, definitely machiine-written","uses 'significantly' a lot, but doesn't mention testing"
30,2,DLL2020,,,,,,,0:30,ACL,"Donahue, Lee, & Liang",2020,https://www.aclweb.org/anthology/2020.acl-main.225.pdf,English,other (please specify): text: document with missing-sentence marker,text: document,other (please specify): filling in missing sentence,"text infilling for short stories, scientific abstracts, and lyrics","Natural, human-like","""a higher score implies a better (more natural, human-like) model""",Humanlikeness,Degree to which humans can identify the machine-generated sentence in a text of length 5 sentences,Direct quality estimation,"""Identify one of the five sentences generated by machine""",blank,Categorical,Other (please specify): set of items for selection,5,"First sentence, second sentence, third sentence, fourth sentence, fifth sentence",the percentage of infilled stories where the human failed to identify the machine-generated sentence
31,2,ZCLXSGW2020,,,,,,,0:30,ACL,"Zhou, Chen, Liu, Xiao, Su, Guo, & Wu",2020,https://www.aclweb.org/anthology/2020.acl-main.639.pdf,English,text: sentence,text: sentence,paraphrasing / lossless simplification,"paraphrasing to achieve given sentiment in reviews, paraphrasing to achieve (in)formality in general writing",Accuracy of style transfer,None given,"multiple (please specify): Inferrability of Speaker Stance (sentiment), Detectability of Text Property (formality)",Degree to which input text has been converted to target sentiment,Direct quality estimation,Not given,Unclear,Ordinal,Numerical Rating Scale,5,"1, 2, 3, 4, 5","Fleiss's kappa, t-test"
32,2,ZCLXSGW2020,,,,,,,,ACL,"Zhou, Chen, Liu, Xiao, Su, Guo, & Wu",2020,https://www.aclweb.org/anthology/2020.acl-main.639.pdf,English,text: sentence,text: sentence,paraphrasing / lossless simplification,"paraphrasing to achieve given sentiment in reviews, paraphrasing to achieve (in)formality in general writing",Preservation of original content,None given,Input Content Retention,Degree to which input content is preserved in output (no usable detail given in paper),Direct quality estimation,Not given,Unclear,Ordinal,Numerical Rating Scale,5,"1, 2, 3, 4, 5","Fleiss's kappa, t-test"
33,2,ZCLXSGW2020,,,,,,,,ACL,"Zhou, Chen, Liu, Xiao, Su, Guo, & Wu",2020,https://www.aclweb.org/anthology/2020.acl-main.639.pdf,English,text: sentence,text: sentence,paraphrasing / lossless simplification,"paraphrasing to achieve given sentiment in reviews, paraphrasing to achieve (in)formality in general writing",Fluency,None given,Fluency,Degree to which text is fluent and grammatical (no usable detail given in paper),Direct quality estimation,Not given,Unclear,Ordinal,Numerical Rating Scale,5,"1, 2, 3, 4, 5","Fleiss's kappa, t-test"
34,3,WWAYC2020,MC,30/07/2020,,,"I do not agree with the Input labels, as tabuldar data is seen as structured data.",,25min/3,ACL,"Wang, Wang, An, Yu, & Chen",2020,https://www.aclweb.org/anthology/2020.acl-main.101.pdf,English,structured data,text: paragraph,data-to-text generation (no summarisation),text faithfulness ,grammar,None given,Grammaticality,,Unclear,not given,not given,Not given,Unclear,4,"4 : There are no grammar errors.
3: There are a few grammar errors, but sentence
meaning is clear.
2: There are some grammar errors, but not influencing its meaning.
1: There are many grammar errors. People cannot understand the sentence meaning.",none given
35,3,WWAYC2020,MC,30/07/2020,,,"I do not agree with the Input labels, as tabuldar data is seen as structured data.",,,ACL,"Wang, Wang, An, Yu, & Chen",2020,https://www.aclweb.org/anthology/2020.acl-main.101.pdf,English,structured data,text: paragraph,data-to-text generation (no summarisation),text faithfulness ,,None given,Fluency,,Unclear,not given,not given,Not given,Unclear,4,"4: The sentence meaning is clear and flow naturally and smoothly.
3: The sentence meaning is clear, but there are
a few interruptions.
2: The sentence does not flow smoothly but people can understand its meaning.
1: The sentence is not fluent at all and people
cannot understand its meaning.",none given
36,3,WWAYC2020,MC,30/07/2020,,,"I do not agree with the Input labels, as tabuldar data is seen as structured data.",,,ACL,"Wang, Wang, An, Yu, & Chen",2020,https://www.aclweb.org/anthology/2020.acl-main.101.pdf,English,raw data,text: paragraph,data-to-text generation (no summarisation),text faithfulness ,faithfulness,"""the level of matching between a generated text sequence and the corresponding table content.""",Information - too much/not enough,"""""A sentence is faithful if it contains only information supported by the table. It should not contain additional information other than the information provided by the table or inferred from the table. Also, the generated sentence should cover as much information in the given table as possible.""
""The human evaluation metrics of faithfulness is defined in terms of precision, recall and F1-score with respect to the reconstructed Knowledge-base table from a generated text sequence.""
""... generation is unfaithful because there exists information in table not covered by generated text""",Unclear,not given,not given,Not given,Unclear,N/A,N/A,none given
37,3,LBHDC2020,MC,30/07/2020,,,,,4min/2,ACL,"Li, Bao, Huang, Dai, & Chen",2020,https://www.aclweb.org/anthology/2020.acl-main.65.pdf,English,text: subsentential units of text,text: subsentential units of text,data-to-text generation (no summarisation),Definition generation,fluency,None given,Fluency,,Unclear,not given,not given,Not given,Unclear,5,unclear,none given
38,3,LBHDC2020,MC,30/07/2020,,,,,,ACL,"Li, Bao, Huang, Dai, & Chen",2020,https://www.aclweb.org/anthology/2020.acl-main.65.pdf,English,text: subsentential units of text,text: subsentential units of text,data-to-text generation (no summarisation),Definition generation,semantic completeness,None given,Complexity/Simplicity of Form,,Unclear,not given,not given,Not given,Unclear,5,unclear,none given
39,3,CCSCW2020,MC,30/07/2020,,,,,10min,ACL,"Chen, Chen, Su, Chen, & Wang",2020,https://www.aclweb.org/anthology/2020.acl-main.708.pdf,English,raw data,text: sentence,data-to-text generation (no summarisation),Logical inference problem,quality,None given,Quality of Content,,Unclear,not given,not given,Categorical,Unclear,4,"categories: 1) non-sense:
the sentence does not make much sense, which
is mainly due to disfluency or repetition problem.
2) wrong: a fluent sentence with wrong logic. 3)
partial-correct: the sentence contains more than one
fact, at least one of them is correct 4) correct: the
high-quality in both fluency and logic correctness.
",none given
40,3,LLJKH2020,MC,30/07/2020,,,,,10min/3,ACL,"Lee, Lee, Jeong, Kim, & Hwang",2020,https://www.aclweb.org/anthology/2020.acl-main.20.pdf,English,text: paragraph,text: sentence,question answering,Question Answering,overall quality,None given,Quality of Content,,Unclear,not given,not given,N/A,N/A,N/A,N/A,none given
41,3,LLJKH2020,MC,30/07/2020,,,,,,ACL,"Lee, Lee, Jeong, Kim, & Hwang",2020,https://www.aclweb.org/anthology/2020.acl-main.20.pdf,English,text: paragraph,text: sentence,question answering,Question Answering,diversity,None given,,,Unclear,not given,not given,N/A,N/A,N/A,N/A,none given
42,3,LLJKH2020,MC,30/07/2020,,,,,,ACL,"Lee, Lee, Jeong, Kim, & Hwang",2020,https://www.aclweb.org/anthology/2020.acl-main.20.pdf,English,text: paragraph,text: sentence,question answering,Question Answering,consistency,None given,,,Unclear,not given,not given,N/A,N/A,N/A,N/A,none given
43,3,SWSZXGY2020,MC,30/07/2020,,,,,10min,ACL,"Song, Wang, Su, Zhang, Xu, Ge, & Yu",2020,https://www.aclweb.org/anthology/2020.acl-main.712.pdf,English,structured data,text: sentence,data-to-text generation (no summarisation),Preserve Semantic Information,None given,None given,Input Content Retention,,Unclear,not given,not given,Not given,N/A,N/A,N/A,none given
44,3,MANSLFR2020,MC,30/07/2020,,,,,15min,ACL,"Mager, Astudillo, Naseem, Sultan, Lee, Florian, & Roukos",2020,https://www.aclweb.org/anthology/2020.acl-main.167.pdf,English,structured data,text: sentence,data-to-text generation (no summarisation),AMR-to-text generation,None given,None given,Grammaticality,,Direct quality estimation,not given,not given,Ordinal,Likert Scale,6,"• 0=Exceptionally poor (No useful information is conveyed at all.)
• 1=Poor (Fundamental errors in grammar and vocabulary make it difficult to understand the meaning.)
• 2=Not good enough (Errors in grammar, vocabulary
and style make it difficult to understand the meaning.)
• 3=Good enough (There are errors in the text, but I am
reasonably confident that I understand the meaning.)
• 4=Very good (There may be minor errors in the text,
but I am very confident that I understand the meaning.)
• 5=Excellent (The information is presented clearly and
with appropriate grammar, vocabulary and style.)
",Pearson correlation coefficient
45,3,RLTZZL2020,MC,30/07/2020,,,No eval,,10min,ACL,"Ren, Liu, Tan, Zhao, Zhao, & Liu",2020,https://www.aclweb.org/anthology/2020.acl-main.15.pdf,"German, English",text: subsentential units of text,text: subsentential units of text,content ordering/structuring,NAR models: knowledge distillation and source-target alignment constraint,None given,None given,,,,not given,not given,Not given,,,,none given
46,3,IDCBE2020,MC,30/07/2020,,,Missing multiple choices option,,15min,ACL,"Ippolito, Duckworth, Callison-Burch, & Eck",2020,https://www.aclweb.org/anthology/2020.acl-main.164.pdf,English,structured data,text: paragraph,data-to-text generation (no summarisation),Detect machine-generated text; Text classification real or generated,None given,"""text was written by a human or by a computer algorithm""",Humanlikeness,,Relative quality estimation,"""What do you think the source is?""",not given,Categorical,MC,4,,p-value
47,3,DLL2020,MC,30/07/2020,,,Missing multiple choices option,,15 min,ACL,"Donahue, Lee, & Liang",2020,https://www.aclweb.org/anthology/2020.acl-main.225.pdf,English,text: sentence,text: subsentential units of text,other (please specify): predict missing spans,Infilling,None given,,Humanlikeness,,Relative quality estimation,"""Identify one of the five sentences generated by machine""",not given,Categorical,MC,5,N/A,Fleiss Kappa
48,3,ZCLXSGW2020,MC,30/07/2020,,,"Human evaluation from paper: ""Style Transfer as Unsupervised Machine Translation"" by Zhang et al 2018",,13min/3,ACL,"Zhou, Chen, Liu, Xiao, Su, Guo, & Wu",2020,https://www.aclweb.org/anthology/2020.acl-main.639.pdf,English,text: sentence,text: sentence,feature-controlled generation,Unsupervised style transfer,accuracy of style transfer,,Spelling Accuracy,,Unclear,not given,not given,N/A,Likert Scale,5,N/A,Fleiss Kappa
